iter	RMSE
0	7.870868668
1	5.15408959
2	3.383225839
3	2.233529343
4	1.49034789
5	1.019450988
6	0.7205783666
7	0.5485427951
8	0.4568538474
9	0.3746437952
10	0.3315479039
11	0.3025202778
12	0.2969281974
13	0.2763645042
14	0.2679919883
15	0.2660307681
16	0.2638026667
17	0.2517114761
18	0.2485447973
19	0.2393788446
20	0.2378774151
21	0.2319712879
22	0.2230147026
23	0.2201350606
24	0.2194646465
25	0.2173060134
26	0.2103889588
27	0.2055437587
28	0.204866433
29	0.2042662512
30	0.2018304115
31	0.1994029615
32	0.1976807929
33	0.1943313404
34	0.1934857839
35	0.1931105609
36	0.192830156
37	0.1915311869
38	0.1910885366
39	0.1910259709
40	0.1910075167
41	0.1904953623
42	0.1837305542
43	0.1833712003
44	0.1817565962
45	0.1807255633
46	0.1799952299
47	0.1793674484
48	0.1792813333
49	0.179265657
50	0.1787993565
51	0.1784932366
52	0.1779978144
53	0.1773713348
54	0.1772230187
55	0.1770489232
56	0.176947873
57	0.1767763744
58	0.1763006877
59	0.1760635364
60	0.1758971138
61	0.1733451669
62	0.1719558947
63	0.1706191653
64	0.1705956457
65	0.1705744922
66	0.1705032285
67	0.170452271
68	0.17041414
69	0.1691062057
70	0.1690827233
71	0.1687441212
72	0.1682820428
73	0.1677041677
74	0.1674389337
75	0.1670900187
76	0.1669027407
77	0.1647397338
78	0.1646882314
79	0.1636657684
80	0.1627364392
81	0.1625945964
82	0.1617067038
83	0.1612944609
84	0.1611789734
85	0.1609160032
86	0.1608211839
87	0.1606365287
88	0.1598745214
89	0.1595729322
90	0.1565766146
91	0.1558051972
92	0.1555549641
93	0.155425039
94	0.1543302182
95	0.1540769512
96	0.1540613798
97	0.1540526792
98	0.1537553806
99	0.1536086807
100	0.1534592023
101	0.1533124842
102	0.1531376025
103	0.1525397983
104	0.1524347029
105	0.152190298
106	0.1510781952
107	0.1508358955
108	0.1503452147
109	0.1500797846
110	0.149948941
111	0.1482261935
112	0.1481282158
113	0.1480097885
114	0.1468709226
115	0.1468038473
116	0.1465587731
117	0.1460503907
118	0.1460001701
119	0.1459643004
120	0.1440699761
121	0.1437261047
122	0.1434811324
123	0.1433086275
124	0.1432350873
125	0.1431037423
126	0.1430814051
127	0.1427213109
128	0.1426463067
129	0.1424937672
130	0.1424222729
131	0.1419493916
132	0.1419449106
133	0.1419191365
134	0.1417204121
135	0.1417173844
136	0.14166797
137	0.1416544898
138	0.1415677652
139	0.1414661906
140	0.1414584599
141	0.141168587
142	0.1406039185
143	0.1398197018
144	0.1397709092
145	0.1395649101
146	0.1394150006
147	0.139370685
148	0.1393113324
149	0.1389438487
150	0.1389065954
151	0.1388980691
152	0.1387983832
153	0.1387755908
154	0.1386795984
155	0.1386543018
156	0.1385689108
157	0.1385133012
158	0.1384894549
159	0.1384873037
160	0.1384354492
161	0.1384131161
